date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:10:44	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.3e.delayed	(from https://dreamgf-ai.com/fr/)
09:10:44	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.3f.delayed	(from https://dreamgf-ai.com/fr/)
09:10:44	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.40.delayed	(from https://dreamgf-ai.com/fr/)
09:10:44	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.41.delayed	(from https://dreamgf-ai.com/fr/)
09:10:44	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.42.delayed	(from https://dreamgf-ai.com/fr/)
09:10:44	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.43.delayed	(from https://dreamgf-ai.com/fr/)
09:10:44	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.44.delayed	(from https://dreamgf-ai.com/fr/)
09:10:44	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.45.delayed	(from https://dreamgf-ai.com/fr/)
09:10:44	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.46.delayed	(from https://dreamgf-ai.com/fr/)
09:10:44	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.47.delayed	(from https://dreamgf-ai.com/fr/)
09:10:44	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2012:10:45%20GMT	https://dreamgf-ai.com/go/secrets	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/secrets	(from https://dreamgf-ai.com/fr/)
09:10:44	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2012:10:45%20GMT	https://dreamgf-ai.com/go/kupid	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/kupid	(from https://dreamgf-ai.com/fr/)
09:10:44	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2012:10:45%20GMT	https://dreamgf-ai.com/go/promptchan	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/promptchan	(from https://dreamgf-ai.com/fr/)
